Time (ns),Voltage A (mV),Voltage B (mV)
0.0,400.40284432508315,391.613513595996
80000000.0,399.42625202185127,391.613513595996
160000000.0,386.7305520798364,375.9880367442854
240000000.0,375.9880367442854,365.2455214087344
320000000.0,370.12848292489394,360.36255989257484
400000000.0,354.50300607318337,342.78389843440044
480000000.0,349.62004455702385,340.8307138279366
560000000.0,335.9477523117771,326.181829279458
640000000.0,303.72020630512407,297.8606524857326
720000000.0,306.64998321481977,296.88406018250066
800000000.0,291.02450636310925,280.2819910275582
880000000.0,221.6864528336436,217.78008362071597
960000000.0,176.76320688497574,166.99728385265664
1040000000.0,166.02069154942473,157.23136082033753
1120000000.0,149.41862239448224,139.65269936216316
1200000000.0,42.97006134220405,31.250953703421125
1280000000.0,16.602069154942473,7.812738425855281
1360000000.0,-5.859553819391461,-17.578661458174384
1440000000.0,-16.602069154942473,-33.20413830988495
1520000000.0,-48.829615161595505,-60.54872280037843
1600000000.0,-96.6826380199591,-109.37833796197394
1680000000.0,-186.52912991729485,-198.24823755607775
1760000000.0,-204.10779137546922,-219.7332682271798
1840000000.0,-223.63963744010744,-240.2417065950499
1920000000.0,-224.61622974333935,-241.2182988982818
2000000000.0,-239.26511429181798,-253.91399884029664
2080000000.0,-246.10126041444136,-264.65651417584763
2160000000.0,-275.3990295113987,-288.0947294534135
2240000000.0,-291.02450636310925,-311.53294473097935
2320000000.0,-312.50953703421123,-326.181829279458
2400000000.0,-334.97116000854516,-349.62004455702385
2480000000.0,-353.5264137699515,-369.15189062166206
2560000000.0,-438.48994415112765,-456.06860560930204
2640000000.0,-455.09201330607016,-474.6238593707083
2720000000.0,-469.7408978545488,-485.36637470625936
2800000000.0,-486.34296700949125,-503.92162846766564
2880000000.0,-498.0620746482742,-513.6875514999847
2960000000.0,-509.7811822870571,-529.3130283516953
3040000000.0,-527.3598437452315,-546.8916898098697
3120000000.0,-559.5873897518845,-575.2128666035951
3200000000.0,-566.4235358745079,-584.0021973326823
3280000000.0,-568.3767204809717,-583.0256050294504
3360000000.0,-569.3533127842036,-590.8383434553057
3440000000.0,-575.2128666035951,-591.8149357585376
3520000000.0,-567.4001281777398,-586.931974242378
3600000000.0,-552.7512436292611,-572.2830896938993
3680000000.0,-540.0555436872463,-558.6107974486526
3760000000.0,-528.3364360484634,-548.8448744163335
3840000000.0,-522.476882229072,-542.9853205969421
3920000000.0,-521.50028992584,-542.0087282937102
4000000000.0,-510.757774590289,-528.3364360484634
4080000000.0,-499.0386669515061,-514.6641438032167
4160000000.0,-491.22592852565083,-509.7811822870571
4240000000.0,-476.57704397717214,-496.10889004181035
4320000000.0,-464.8579363383892,-481.4600054933317
4400000000.0,-449.2324594866787,-465.83452864162115
4480000000.0,-427.74742881557665,-448.25586718344675
4560000000.0,-410.16876735740226,-426.7708365123447
4640000000.0,-406.2623981444746,-424.8176519058809
4720000000.0,-390.63692129276404,-408.21558275093844
4800000000.0,-391.613513595996,-408.21558275093844
4880000000.0,-350.5966368602557,-368.1752983184301
4960000000.0,-362.31574449903866,-374.0348521378216
5040000000.0,-343.7604907376324,-362.31574449903866
5120000000.0,-339.85412152470474,-354.50300607318337
5200000000.0,-313.4861293374432,-328.1350138859218
5280000000.0,-293.95428327280496,-313.4861293374432
5360000000.0,-282.235175634022,-294.93087557603684
5440000000.0,-252.93740653706473,-267.5862910855434
5520000000.0,-236.33533738212225,-252.93740653706473
5600000000.0,-225.59282204657126,-243.17148350474562
5680000000.0,-198.24823755607775,-215.82689901425215
5760000000.0,-182.6227607043672,-199.22482985930966
5840000000.0,-154.3015839106418,-167.97387615588855
5920000000.0,-136.72292245246743,-151.37180700094606
6000000000.0,-131.83996093630788,-148.44203009125033
6080000000.0,-46.87643055513169,-61.52531510361034
6160000000.0,26.367992187261574,9.765923032319101
6240000000.0,42.97006134220405,34.18073061311686
6320000000.0,65.43168431653798,56.64235358745079
