Time (ns),Voltage (mV)
0.0,400.40284432508315
80000000.0,399.42625202185127
160000000.0,386.7305520798364
240000000.0,375.9880367442854
320000000.0,370.12848292489394
400000000.0,354.50300607318337
480000000.0,349.62004455702385
560000000.0,335.9477523117771
640000000.0,303.72020630512407
720000000.0,306.64998321481977
800000000.0,291.02450636310925
880000000.0,221.6864528336436
960000000.0,176.76320688497574
1040000000.0,166.02069154942473
1120000000.0,149.41862239448224
1200000000.0,42.97006134220405
1280000000.0,16.602069154942473
1360000000.0,-5.859553819391461
1440000000.0,-16.602069154942473
1520000000.0,-48.829615161595505
1600000000.0,-96.6826380199591
1680000000.0,-186.52912991729485
1760000000.0,-204.10779137546922
1840000000.0,-223.63963744010744
1920000000.0,-224.61622974333935
2000000000.0,-239.26511429181798
2080000000.0,-246.10126041444136
2160000000.0,-275.3990295113987
2240000000.0,-291.02450636310925
2320000000.0,-312.50953703421123
2400000000.0,-334.97116000854516
2480000000.0,-353.5264137699515
2560000000.0,-438.48994415112765
2640000000.0,-455.09201330607016
2720000000.0,-469.7408978545488
2800000000.0,-486.34296700949125
2880000000.0,-498.0620746482742
2960000000.0,-509.7811822870571
3040000000.0,-527.3598437452315
3120000000.0,-559.5873897518845
3200000000.0,-566.4235358745079
3280000000.0,-568.3767204809717
3360000000.0,-569.3533127842036
3440000000.0,-575.2128666035951
3520000000.0,-567.4001281777398
3600000000.0,-552.7512436292611
3680000000.0,-540.0555436872463
3760000000.0,-528.3364360484634
3840000000.0,-522.476882229072
3920000000.0,-521.50028992584
4000000000.0,-510.757774590289
4080000000.0,-499.0386669515061
4160000000.0,-491.22592852565083
4240000000.0,-476.57704397717214
4320000000.0,-464.8579363383892
4400000000.0,-449.2324594866787
4480000000.0,-427.74742881557665
4560000000.0,-410.16876735740226
4640000000.0,-406.2623981444746
4720000000.0,-390.63692129276404
4800000000.0,-391.613513595996
4880000000.0,-350.5966368602557
4960000000.0,-362.31574449903866
5040000000.0,-343.7604907376324
5120000000.0,-339.85412152470474
5200000000.0,-313.4861293374432
5280000000.0,-293.95428327280496
5360000000.0,-282.235175634022
5440000000.0,-252.93740653706473
5520000000.0,-236.33533738212225
5600000000.0,-225.59282204657126
5680000000.0,-198.24823755607775
5760000000.0,-182.6227607043672
5840000000.0,-154.3015839106418
5920000000.0,-136.72292245246743
6000000000.0,-131.83996093630788
6080000000.0,-46.87643055513169
6160000000.0,26.367992187261574
6240000000.0,42.97006134220405
6320000000.0,65.43168431653798
